ID,Nombre_proyecto,Tipo,Año,Ubicacion_depto,Ubicacion_municipio,Ubicacion_vereda,Clima_TdR,Subtipo_Koppen,Sistema_constructivo,Subsistemas,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Estandares_ref,Cumplimiento_observado,Genero_inclusion,Estado,Verificable,Fuente_principal,Archivo_fuente,URL_fuente,Tipo_fuente,Lecciones_aprendidas,Observaciones,Estado_validacion,Motivo_descarte,Fecha_validacion,Validado_por
CAS-026,Vivienda rural existente Chita (clima frío Boyacá),vernaculo,s.f. (estudio 2020),Boyacá,Chita,desconocido,frio,Cwb,mixto-bahareque-tapia,integral,Tres habitaciones con un solo baño exterior; sala y cocina sin división (concentra calor humano); orientación noreste (mejor confort medido); construcción compacta para conservar calor; muros gruesos y bahareque + teja de barro para inercia térmica,Cocina con leña en fogón; sin red de gas; ganancia interna por personas y fogón,Sin acueducto en muchas veredas; pozo séptico; baño exterior,Bahareque (barro + caña de castilla); teja de barro; teja de zinc en intervenciones recientes; ladrillo en intervenciones; madera local; piedra,MP-08; MP-09; MP-13; MA-10; GM-E2; A-FL-1; GM-A1; L-E08; L-F01; PNVISR-3,Simulación BIM Design Builder: vivienda existente solo 34.58% horas en confort en clima frío (rango 18.57-23.57°C); bahareque baja a 21.37% por sobre-aislamiento que enfría; mejor mantener material tradicional con ganancia interna fogón. Sin calefacción solar térmica reportada (MA-10),Acceso limitado a servicios públicos rurales; cocina con leña por mujeres (PM2.5); falta de baño interno limita confort para mujeres y adultos mayores,Construido,publicacion,"Carvajal; Valencia (UGC 2020), pp. 58-60; 74-78",TdeG-UGC-ruralColombia_2020.pdf,https://repository.ugc.edu.co/bitstream/handle/11396/5814/Carvajal_Ca%C5%86as_Joseph_Andrey_Valencia_Antonio_Tatiana_2020.pdf,tesis,Replicar: orientación noreste; compactación volumétrica para conservar calor; bahareque con masa moderada; ganancia interna por fogón. Evitar: divisiones excesivas que dispersan calor; ausencia de aislamiento de cubierta,CRITICO: caso de clima frío (vacío en M2). Análisis Köppen Cwb (Boyacá altitud >2900m). Fuente cuantitativa simulación BIM,pendiente_revision,,,
CAS-027,Vivienda rural existente Paimadó-Río Quito (palafito Chocó),vernaculo,s.f. (estudio 2020),Chocó,Río Quito,Corregimiento Paimadó,calido_humedo,Af,palafito-madera,integral,Vivienda elevada en pilotes a orilla del río; tres habitaciones más baño en planta reducida; cubierta a un agua o palma reemplazada por zinc; orientación norte (mejor confort medido); ventilación inferior bajo palafito; cocina secundaria adosada con esterilla,Sin red eléctrica formal en muchos casos; iluminación natural,Adaptación a inundaciones por palafito; aguas grises directamente al río (sin tratamiento),Madera de columnas (guayacanes); travesaños rollizos; esterilla de guadua para cocina; zinc o palma en cubierta; piezas aserradas progresivas (reemplazo de palos redondos por modernización),MP-02; MP-08; MP-14; A-FL-1; GM-A1; L-E08; L-F01; PNVISR-1; PNVISR-3,Simulación BIM: 90.32% horas en confort con bahareque (mejor material); palafito con palma cumple ventilación inferior pero zinc reemplazo aumenta calor,Construcción tradicional afro-pacífica; vivienda en transición (palma → zinc),Construido,publicacion,"Carvajal; Valencia (UGC 2020), pp. 53-55; 76-77",TdeG-UGC-ruralColombia_2020.pdf,https://repository.ugc.edu.co/bitstream/handle/11396/5814/Carvajal_Ca%C5%86as_Joseph_Andrey_Valencia_Antonio_Tatiana_2020.pdf,tesis,Replicar: palafito + ventilación inferior + orientación norte. Evitar: sustitución palma por zinc sin pintura reflectiva; vertimiento directo al río,Análisis BIM Design Builder confirma desempeño térmico óptimo (90% confort). Refuerza CAS-014 con cuantitativos,pendiente_revision,,,
CAS-028,Vivienda vernácula bahareque Vereda Cuche (Santa Rosa de Viterbo),vernaculo,finales s.XIX-mediados s.XX,Boyacá,Santa Rosa de Viterbo,Vereda Cuche,frio,Cwb,bahareque,integral,Construcción precolombina muisca + colonial: bahareque (entramado caña + barro) con muros gruesos para inercia térmica; cubierta paja o teja barro; ganancia solar por orientación; cocina exterior; piso de tierra,Sin red de gas; cocina exterior con leña; sin calentador solar reportado,Acueductos veredales sin alcantarillado; 30% defecación al aire libre; pozo séptico,Bahareque tradicional (caña de castilla + tierra arcillosa + cal + pasto seco como fibra); piedra en cimentación; teja de barro; madera para entramado; muros adobe en algunas casas; tapia pisada en otras,MP-08; MP-09; MP-13; MA-10; A-FL-1; GM-A1; L-E08; L-F01; PNVISR-3; ST333-1,Vivienda en deterioro avanzado (muros; techos en ruinas); 27.4% IPM rural Boyacá; 17.81% NBI rural; deshabitada por deterioro; pierde habitabilidad,Migración juvenil a ciudades por falta de oportunidades; pérdida de saberes constructivos vernáculos; familias campesinas con género tradicional rural,Construido,publicacion,"Orozco González (UGC 2022), pp. 18-22; 47-50",TdeG-UGC-SantaRosadeVitervo_2022.pdf,https://repository.ugc.edu.co/bitstream/handle/11396/7544/OROZCO_INGRID_2022.pdf,tesis,Replicar: bahareque con caña de castilla + cal (durable; sismo-resistente); cimentación piedra + concreto ciclópeo; viga amarré. Evitar: dejar viviendas sin mantenimiento → ruina; abandono por migración,CRITICO: caso clima frío + bahareque + tapia (vacíos M2). Fuente con descripción técnica detallada de proceso constructivo (paso a paso construido por estudiante con comunidad),pendiente_revision,,,
CAS-029,Prototipo bahareque autoconstruido Vereda Cuche,mixto,2022,Boyacá,Santa Rosa de Viterbo,Vereda Cuche,frio,Cwb,bahareque,estructura; envolvente,Cimentación elevada en concreto ciclópeo + viga amarré + dados (aísla muros de humedad piso); columnas madera + esterilla rellena con mezcla tierra-pasto-cal; cubierta inclinada; pañete cal exterior para impermeabilizar,Sin reportar (intervención solo estructural),Sin reportar,Caña de castilla (cosechada Vereda Cuche); tierra arcillosa local; cal hidratada; pasto seco como fibra; mortero de cal; madera local en columnas y marcos,MP-08; MP-09; MP-13; A-E-1; A-EM-1; A-FL-1; A-R-1; GM-A1; GM-S1; L-F01; L-F16,Construido como prototipo de transferencia tecnológica con autoconstrucción asistida; cumplen materiales locales (<300 km; GM-A1) y bajo CO2,Taller participativo con habitantes de la Vereda Cuche para transferir conocimiento ancestral; mujeres y hombres participan en mezclas; montaje; amarre,Solo diseño,foto,"Orozco González (UGC 2022), pp. 90-118",TdeG-UGC-SantaRosadeVitervo_2022.pdf,https://repository.ugc.edu.co/bitstream/handle/11396/7544/OROZCO_INGRID_2022.pdf,tesis,Replicar: receta de mezcla tierra-pasto-cal documentada paso a paso; cimentación elevada con dados; participación comunitaria. Evitar: depender de mantenimiento externo si no hay transferencia generacional,Modelo replicable de Vivienda de Interés Cultural (VIC) en bahareque para clima frío Boyacá,pendiente_revision,,,
CAS-030,Casa cafetera 1 Vereda Taparcal (Belén de Umbría 1950),vernaculo,1950,Risaralda,Belén de Umbría,Vereda Taparcal,templado,Cfb,bahareque,integral,Configuración en L para integrar habitación con beneficiadero/secadero; orientación longitudinal capta vientos del oriente; corredor lateral abierto como transición climática (sombra+ventilación cruzada); cubierta inclinada teja de barro a 2 aguas; muros gruesos bahareque para inercia térmica,Cocina con fogón de leña; sin red de gas reportada,Sin acueducto reportado en vereda; abastecimiento veredal,Zócalo de bloque cemento + estructura madera + muros bahareque recubierto pañete; teja de barro; entrepiso madera,MP-02; MP-04; MP-08; MP-13; MP-14; L-E05; A-FL-1; GM-A1; L-F01; ST333-1,Estado regular: deterioro avanzado en pisos y cubiertas; entrepiso madera podrido; cielo raso con filtraciones; vigas exteriores pierden rigidez por falta de mantenimiento,Vivienda como unidad productiva (10 alcobas + secado de café + bodegas + fogón leña); cocina como lugar trabajo doméstico femenino,Construido,publicacion,"Farfán Ospina (UCP/USTA 2025), pp. 47-52",TdeG-USTA-BelendeUmbria.pdf,https://repositorio.ucp.edu.co/entities/publication/a4550d8b-1d8c-4016-b6a8-1566f3bf330b,tesis,Replicar: corredor lateral abierto como articulador interior-exterior; integración casa + beneficiadero; orientación longitudinal a vientos. Evitar: falta de mantenimiento que deteriora bahareque/madera,Paisaje Cultural Cafetero UNESCO 2011; Vereda Taparcal; complementa CAS-019 con caso fechado y metraje grande (10 alcobas),pendiente_revision,,,
CAS-031,Casa cafetera 2 Vereda Taparcal (Belén de Umbría 1975),vernaculo,1975,Risaralda,Belén de Umbría,Vereda Taparcal,templado,Cfb,madera-aserrada,integral,Tipología de frente en torno a patio (no lineal); patio con vista a montañas (microclima); corredor para sombra; cubierta a un agua de fibrocemento (intervención posterior); piso cemento,Cocina con leña; sin gas,Sin acueducto formal; pozo séptico,Estructura madera; muros madera; piso cemento; cubierta fibrocemento (no vernáculo); usos productivos: bodega insumos + espacio trilladora,MP-02; MP-13; A-FL-1; GM-A1; L-E05; PNVISR-2,Cubierta fibrocemento (eternit) — material con asbesto histórico; debe verificarse; intervenciones no coherentes con contexto cafetero tradicional,Vivienda intermedia en transición vernácula → moderna; conserva uso productivo (bodega + trilladora),Construido,publicacion,"Farfán Ospina (UCP/USTA 2025), pp. 47-49",TdeG-USTA-BelendeUmbria.pdf,https://repositorio.ucp.edu.co/entities/publication/a4550d8b-1d8c-4016-b6a8-1566f3bf330b,tesis,Replicar: organización en torno a patio para microclima y vistas; integración bodega/trilladora a vivienda. Evitar: cubierta de fibrocemento (asbesto histórico) y muros de madera sin tratamiento,Caso de transición tipológica vernáculo → moderno en eje cafetero; ilustra erosión arquitectónica gradual,pendiente_revision,,,
CAS-032,Miiroku - Hábitat Wayuu,mixto,2024,La Guajira,Uribia,Comunidades Wayuu Kayuswaaralu y Naleep (Alta Guajira),calido_seco,BWh,bahareque,integral,Ventilación natural cruzada; aislamiento térmico que mantiene -5C respecto al exterior; orientación según vientos alisios; integración con tipología tradicional Wayuu,Sistema fotovoltaico autónomo (zona sin red eléctrica),Captación de aguas lluvias + filtración (programa Aquavida); sanitarios secos,"Yotojoro (madera de cactus), tierra local, bahareque tradicional Wayuu, materiales del entorno inmediato",,"Certificación CASA Colombia en Diseño (CCCS, julio 2025), verificada por Bureau Veritas - primer prototipo bajo el esquema CASA Prototipos",Familias indígenas Wayuu como beneficiarias directas; integración de saberes ancestrales matrilineales,Construido,publicacion,Proyecto Miiroku Casa Para Mí - Cementos Argos + Fundación Santo Domingo + Grupo Aval/Corficolombiana + MinVivienda,,https://argos.co/el-proyecto-de-vivienda-miiroku-de-casa-para-mi-de-cementos-argos-obtiene-la-certificacion-en-sostenibilidad-casa-colombia/,web,Articulación corporativo + indígena + gobierno; certificación tercero como herramienta de validación; integración de saberes ancestrales con tecnología solar y captación; 30 viviendas / 270 beneficiarios; replicable en otras rancherías Wayuu,Caso fuerte para clima cálido seco extremo. Referente Wayuu con tecnología contemporánea. Cubre vacío crítico calido_seco x no-bahareque-puro.,pendiente_revision,,,
CAS-033,Casa Franco,contemporaneo,2023,Valle del Cauca,Ginebra,,templado,Aw,tapia,"integral, envolvente",Masa térmica de tierra como abrigo; gestión de patios y porches; transición exterior-interior; climatización pasiva por celosías y aperturas; ventilación cruzada por brisa de piedemonte,,,"Tapia pisada + adobe; tierra de excavación in-situ reutilizada en cerramientos perimetrales (economía circular de tierra); reusó de materiales del lote (baldosas, rejas, ladrillos antiguos); capacitación de mano de obra local en técnicas tradicionales",,"Premio Nacional de Arquitectura Ricardo González Ripoll - Vivienda Unifamiliar/Bifamiliar, XXIX Bienal Colombiana de Arquitectura 2024",,Construido,publicacion,Casa Franco - Taller Espacio Colectivo (Aldo Marcelo Hurtado + Carlos Hernán Betancourth) - Bienal SCA 2024,,https://bienalsca.co/project/casa-franco/,web,Tapia pisada contemporánea de alto estándar; reusó de materiales del lote; documentación replicable a vivienda rural campesina; capacitación local como vehículo de transferencia,"Vivienda alto estándar (no social), 750 m2. El valor está en la técnica tapia pisada contemporánea documentada - único caso premiado SCA con tapia construida. Cubre vacío TAPIA en matriz (no hay tapia en frío Boyacá/Cundinamarca documentada).",pendiente_revision,,,
CAS-034,Vivienda Rural Salgar - La Pradera,contemporaneo,2017,Antioquia,Salgar,La Pradera (componente rural reasentamiento post-avalancha 2015),templado,Cfb,mamposteria-estructural,integral,"Zaguán y porches para ventilación; orientación al paisaje; ventilación cruzada; reinterpretación de tipología cafetera tradicional (corredores, alero amplio)",,,Mampostería estructural + rescate tipológico cafetero; materiales locales; expansibilidad por lote 260 m2,,Segundo lugar Hábitat Social - XXVI Bienal Colombiana de Arquitectura 2018; modelo adoptado por MinAgricultura como vivienda rural nacional,Vivienda social post-desastre dirigida a familias damnificadas avalancha Salgar 2015,Construido,publicacion,Reconstrucción Salgar - Ana Elvira Vélez + Taller Síntesis Arquitectura (Bienal SCA 2018),,https://tallersintesis.com/portfolio/vi-ru-salgar/,web,Modelo replicable de tipología cafetera contemporánea; adopción como política pública nacional MinAgricultura; escala 50 unidades probada; reconstrucción post-desastre con respeto cultural,Caso emblemático Producto 1 - única vivienda social rural premiada SCA con política pública nacional adoptada.,pendiente_revision,,,
CAS-035,Casa Tejida (Woven House),contemporaneo,2019,Cundinamarca,Nocaima,Fical,templado,Cfa,madera-aserrada,"envolvente, integral",Ventilación cruzada por celosías tejidas móviles; sombreamiento; perpendicular a curvas de nivel sin movimiento de tierra; orientación solar; cerramientos textiles móviles permiten control térmico variable,,,Madera local + metal prefabricado; fibras vegetales tejidas in-situ por artesana local; bajo desperdicio; combinación industria + artesanía,,Premio Vivienda Unifamiliar Ricardo González Ripoll - XXVII Bienal Colombiana 2020; Mención MCHAP (Mies Crown Hall Americas Prize) 2024,Vinculación de artesana local en producción de tejidos vegetales (transferencia económica del oficio),Construido,publicacion,Woven House - Santiago Pradilla + Zuloark (Bienal SCA 2020),,https://www.archdaily.com/961145/woven-house-santiago-pradilla-plus-zuloark,web,"Prototipo experimental con artesanos locales; cerramientos textiles móviles como envolvente activa; reconocimiento internacional (Domus, Dezeen, Dwell, MCHAP); transferencia oficio artesanal",Vinculada a finca cafetera familiar. Replicabilidad alta como prototipo de vivienda con envolvente vegetal local. Falta documentación pública de E2/E3 (energía/agua).,pendiente_revision,,,
CAS-036,Prototipo VISR Vivienda Cafetera,contemporaneo,2017,Magdalena,Fundación,El 50 (Sierra Nevada de Santa Marta),calido_humedo,Aw,madera-aserrada,integral,Ventilación cruzada; sistema palafítico (separación del suelo + protección de humedad); orientación según vientos sierra; alero amplio,,,Madera prefabricada modular; ensamble en sitio sin construcción húmeda; mínimos residuos; sistema desmontable,,Primer Premio Corona Pro Hábitat 2015 - categoría profesional zona norte; construido por Federación Nacional de Cafeteros | Confirmado en doc Modelo Bogotá-Región 2024: Ensamble AI como firma encargada del diseño y construcción. Mismo modelo de gestión FNC + Corona Pro Hábitat: Alcaldía Fundación distribuye recursos subsidiarios; DVR organiza selección de familias; SISBEN + Red Unidos categorizan beneficiarios.,Programa Vivienda VIS rural cafetera FNC para familias caficultoras Sierra Nevada,Construido,publicacion,Prototipo VISR Vivienda Cafetera - Ensamble Arquitectura Integral (Universidad Nacional Bogotá) + FNC,,https://www.ensambleai.com/post/2017/03/22/-prototipo-visr-vivienda-cafetera-construido,web,Modelo prefabricado de madera adaptable; palafito como respuesta a humedad y suelos inestables; ensamblaje en sitio reduce tiempo y residuos,Construido por FNC Sierra Nevada de Santa Marta. Documentación más detallada en sitio web de Ensamble AI. | COMPLEMENTADO 2026-05-10: documento Modelo Vivienda Rural Apropiada Bogotá-Región 2024 lo documenta como referente nacional (sección 2.4.2).,pendiente_revision,,,
CAS-037,Casa Cafetera VIVA - A.E. Vélez,contemporaneo,2017,Antioquia,Zona central cafetera Antioquia (municipio no detallado en fuente),,templado,Cfb,madera-aserrada,integral,Mínima alteración del terreno (palafito); adaptable a 3 zonas cafeteras (orientación/clima); ventilación cruzada por paneles modulares,,,Sistema modular palafítico estructura metálica + paneles 2.50 x 0.97 m; prefabricación; bajo desperdicio; 46.5 m2 ampliable,,Corona Pro Hábitat 2015 - Primer lugar zona central; prototipo construido por VIVA + Ana Elvira Vélez,Programa VIS rural cafetero Antioquia,Construido,publicacion,Vivienda Rural Cafetera - VIVA (Empresa de Vivienda de Antioquia) + Ana Elvira Vélez (Corona Pro Hábitat 2015),,https://www.anaelviravelez.co/vivienda-rural,web,Sistema modular palafítico adaptable a 3 zonas cafeteras del Eje; expansibilidad por crecimiento progresivo,"Prototipo posterior a VIVA 2014 (CAS-001..006), distinto y orientado al cafetero antioqueno. Mismo equipo de Ana Elvira Vélez del proyecto Salgar (CAS-034).",pendiente_revision,,,
CAS-038,Casa de Reforestación Lamarilla,contemporaneo,2023,Antioquia,Fredonia,Rural disperso suroccidente antioqueno,templado,Cfb,madera-aserrada,integral,"Casa a 1.440 msnm en suave pendiente con quiebre topográfico; mira al Cerro Bravo (hito regional). Estructura palafítica que respeta hidrología (bosque relicto + quebrada + 2 escorrentías + zonas de inundación); permite el paso libre del agua, flora y fauna por debajo; mínimo movimiento de tierra; arquitectura compacta y adaptable a topografía; mínimo impacto visual.",,,Madera certificada FSC como material principal por su flexibilidad y ligereza (ideal para zona de falla geológica); ciclo regenerativo: los árboles usados se reforestan en el lote; sistema modular replicable de fácil transporte e instalación; piezas se ensamblan con herramienta liviana en poco tiempo. 67.5 m² construidos en lote 19.500 m².,,GANADORA Premio Lápiz de Acero 2024 - categoría Espacio / Diseño Arquitectónico; Finalista Bienal Iberoamericana de Arquitectura BIAU XIII categoría Región Andes,,Construido,publicacion,Casa de Reforestación Lamarilla - Quena Margarita González Escobar + Juan David Hoyos Taborda (DENSO Arquitectura),,https://www.lapizdeacero.org/nominado/casa-de-reforestacion-lamarilla/,web,"Vinculación vivienda + función ambiental productiva (reforestación); ciclo regenerativo de madera FSC como modelo replicable; arquitectura como instrumento de restauración ecológica; sistema modular para zonas rurales antioqueñas con vocación deforestada (minería, café, ganadería); unidades de paisaje (corredores de quebradas, zonas de inundación) integradas al diseño.",Vivienda en zona rural dispersa con funciones productivas integradas (reforestación). Escala unifamiliar. Cliente: Cecilia Escobar Trujillo. PREMIO ACTUALIZADO: GANADORA Lápiz de Acero 2024 (no solo nominada como se reportó inicialmente).,pendiente_revision,,,
CAS-039,Vivienda piloto Bahareque-Guadua Cabildo Indígena Jambaló,vernaculo,2014,Cauca,Jambaló,Loma Pueblito (Resguardo Indígena Nasa),frio,Cfb,bahareque,integral,Técnica adaptada a cordillera Central; orientación según vientos andinos,,,Bahareque encementado + estructura de guadua; laminas madera/guadua unidas con guasca y bejucos; relleno barro; guadua regenerativa (4 años); tierra reusable; 90 m2,,Vivienda piloto comunitaria entregada (sin premio formal nacional); referente cultural indígena Nasa con costo 28-30M COP vs 90M convencional; vida útil estimada 150 años,"Vivienda indígena Nasa, comunidad indígena Cabildo Jambaló como beneficiaria",Construido,publicacion,"Vivienda piloto Bahareque-Guadua - Cabildo Indígena Nasa Jambaló + Comité Cafeteros Cauca (arq. Jose Alonso Monteros, 2014)",,https://www.eltiempo.com/archivo/documento/CMS-14211435,web,Costo 28-30M COP vs 90M convencional; integración de saberes Nasa; replicable como modelo comunitario indígena; sin premio formal pero con autor y prensa nacional verificables,Sin premio formal nacional. Documentado en El Tiempo con autor identificable. Referente clima frío + indígena Nasa.,pendiente_revision,,,
CAS-040,Aldea Navarro - Modelo de hábitat colectivo rural en torno al agua,contemporaneo,2021,Valle del Cauca,Cali,Corregimiento Navarro,calido_humedo,Aw,,integral,Estructuración por agua y sombra; transición vegetal-edificada,,"Canales, humedales, gestión hídrica integral; recuperación de cauces; productividad hídrica vinculada",,,Primer lugar concurso público anteproyecto (Alcaldía Cali + FEV + SCA Valle); seleccionado XII Bienal Iberoamericana de Arquitectura BIAU,Reasentamiento de 367 familias desde orillas del río Cauca; vinculación productiva integrada (~27.6% del área para agroecología),Solo diseño,publicacion,Aldea Navarro - DARP (De Arquitectura y Paisaje) + Ana Elvira Vélez + Cabal + Buitrago (Alcaldía Cali / FEV / SCA Valle 2021),,https://www.archdaily.cl/cl/975725/aldea-navarro-un-prototipo-de-vivienda-social-rural-sostenible-para-reasentar-familias-de-vocacion-productiva-en-colombia,web,Modelo de hábitat colectivo rural en torno al agua; productividad agroecológica integrada; reasentamiento desde zonas de riesgo con vocación productiva mantenida,"SOLO DISEÑO - concurso 2021, obra prevista 2025 sin entrega confirmada al cierre de búsqueda. Útil como referente conceptual y de planeación.",pendiente_revision,,,
CAS-041,Prototipo Flexible Vivienda Rural Cafetera (Pitalito),vernaculo,2015,Huila,Pitalito,El Danubio,templado,Cwa,bahareque,integral,Diseño con doble altura para expansión futura dentro del mismo volumen (etapa 2: ampliación para 4ta alcoba o tienda veredal). Recupera tipología rural cafetera (tradicional + aceptada por campesinos). Corredores tradicionales como espacio de transición. Puertas y ventanas con dobles batientes en primer piso para ventilación.,,,Estructura de pórticos en GUADUA + cerramiento en BAHAREQUE ENCEMENTADO + ladrillo arcilla estructural en áreas húmedas y servicios (fabricado en el municipio). Cubierta en teja zinc sobre esterilla de guadua (durabilidad + economía). Cerramientos ecológicos: guadüilla en escalera + cerramientos verdes con botellas plásticas recicladas (fáciles de elaborar por la comunidad). Tecnoparque Agroecológico Yamboro promueve la guadua como material estructural.,,"Corona Pro Hábitat 2015 - categoría profesional zona sur (premio confirmado). CONSTRUIDO POR FNC + Fundación Corona en 2015. Tiempo construcción: 90 días (vs 42 presupuestados, +100%). Costos: subieron ~4%. Subsidio cubrió 100% de costos sin inconvenientes en desembolso. Área máxima 40 m2. Presupuesto unidad ≤$36 millones (todos costos directos+indirectos+acometidas). Espacio para secadero de café + 4 alcobas posibles en etapa 2. Anteproyecto ganador recibió $17 millones para planos constructivos.",,Construido,publicacion,Prototipo Flexible de Vivienda Rural Cafetera - Germán Ramírez + Valentina Collazos + Andrés Navarro (Corona Pro Hábitat 2015 zona sur). Construido por Federación Nacional de Cafeteros (FNC) + Fundación Corona en alianza con Tecnoparque Agroecológico Yamboro y Alcaldía de Pitalito,,https://www.cpnaa.gov.co/prototipo-flexible-de-vivienda-rural-cafetera/,web,Modelo construido con financiación pública completa vía subsidio VISR; tiempo real de construcción duplica el presupuestado en zonas con poca accesibilidad; uso explícito de guadua + bahareque encementado + ladrillo local; cerramientos verdes con materiales reciclados (botellas plásticas) elaborables por la comunidad; doble altura para crecimiento progresivo; recupera tipología cafetera tradicional aceptada por campesinos; alianza FNC + Corona + Tecnoparque Yamboro como modelo replicable.,ACTUALIZADO 2026-05-10 desde Modelo Vivienda Rural Apropiada Bogotá-Región (2024). Confirmación CONSTRUIDO (corregido de Solo diseño). Autoría completa: Germán Ramírez + Valentina Collazos + Andrés Navarro (no solo G. Ramírez Tovar como decía versión anterior). Verificar municipio/vereda exacto: el documento Bogotá-Región menciona Vereda El Rosal; CPNAA original menciona El Danubio - probable confusión.,pendiente_revision,,,
CAS-042,Centro Etnoeducativo Walirumana (referente de arquitectura rural),contemporaneo,2020,La Guajira,Uribia,"Ranchería Walirumana (20 km al norte de Uribia, Alta Guajira)",calido_seco,BWh,bahareque,"integral, envolvente, cubierta","Celosías de guadua que filtran viento y arena, generan confort interior; cubierta plegada para sombra y captación; reinterpretación de bahareque Wayuu",,Cubierta plegada captura agua de lluvia (estratégica en zona de escasez extrema),Bloques de Tierra Comprimida (BTC) + guadua + madera; cubierta plegada metálica; reinterpretación bahareque Wayuu,,Premio Nacional de Arquitectura Colombiana 2022 (XXVIII Bienal SCA) - Proyecto Arquitectónico Fernando Martínez Sanabria,Equipamiento etnoeducativo para comunidad Wayuu; reconocimiento de saberes tradicionales en diseño contemporáneo,Construido,publicacion,Centro Etnoeducativo Walirumana - Juan Salamanca Balen / Salba (Bienal SCA 2022),,https://www.archdaily.com/980382/walirumana-ethno-educational-center-salba,web,Técnica de tierra+guadua transferible a vivienda Wayuu; cubierta plegada para captación de agua escasa; reinterpretación contemporánea de bahareque indígena,ARQUITECTURA RURAL - equipamiento etnoeducativo (no vivienda strictu sensu) en zona rural Wayuu Alta Guajira. Incluido como REFERENTE TÉCNICO transferible a vivienda en cálido seco extremo con NO-bahareque tradicional. Único caso premiado SCA con tierra+guadua en cálido seco extremo.,pendiente_revision,,,
CAS-043,Programa Vivienda Caldas - piloto Buenavista (Chinchiná),mixto,2023,Caldas,Chinchiná,Buenavista (sector El Trébol),templado,Cfb,bahareque,integral,Pertinencia cultural y bioclimática del Paisaje Cultural Cafetero (UNESCO); ventilación cruzada en tipología cafetera,,,"Bahareque encementado + guadua local; soleras de madera, parales y diagonales de guadua, esterilla, malla y revoque de cemento; losa de concreto; cubierta de guadua; sistema reconocido NSR-10 título E; 49.8 m2",,Política pública Gobernación de Caldas; piloto entregado 2023 con expansión a 8 municipios 2024; inversión ~3.000 millones COP; alineado con Paisaje Cultural Cafetero declarado UNESCO,Programa VIS rural campesino con foco en Paisaje Cultural Cafetero,Construido,publicacion,Programa Vivienda Caldas - piloto Buenavista (Gobernación de Caldas 2023),,https://site.caldas.gov.co/noticias-gobernacion/14528-gobierno-de-caldas-avanza-en-la-ejecucion-de-proyectos-de-vivienda-construidas-en-guadua-inversion-es-de-cerca-de-3-000-millones,web,Política pública departamental con bahareque encementado de guadua + alineación con UNESCO PCC; modelo escalable VIS rural en clima cafetero; inversión pública sostenida (~3.000M COP),SIN IDENTIFICAR ARQUITECTO específico (operador estatal Gobernación de Caldas). Caso de política pública departamental.,pendiente_revision,,,
CAS-044,Urbanización El Paraíso - Casas Palafíticas Riosucio,contemporaneo,2018,Chocó,Riosucio,Cabecera + zonas rurales aledañas (urbanización El Paraíso),calido_humedo,Af,palafito-madera,integral,Sistema palafítico sobre pilotes elevados sobre cota de inundación; respuesta climática a inundaciones recurrentes (post-La Nina 2010-11); ventilación cruzada bajo piso,,Adaptación a zona inundable como eje rector; resiliencia climática estructural,"Madera certificada FSC; andenes en concreto; 45 m2 (sala-comedor, cocina, 2 alcobas, baño, patio ropas, servicios públicos)",,Programa estatal Fondo Adaptación post-La Nina 2010-11; 157 viviendas entregadas (febrero 2018); 680 beneficiarios; inversión ~10.200 millones COP,Vivienda para reasentamiento de familias damnificadas por inundaciones; programa nacional de adaptación climática,Construido,publicacion,"Urbanización El Paraíso - Programa Fondo Adaptación (Director Ivan Mustafá, 2018)",,https://www.fondoadaptacion.gov.co/index.php/component/content/article/170-prensa/comunicados-de-prensa/comunicados-de-prensa-2017/584-comunicado-142-17.html?Itemid=101,web,Adaptación climática palafítica como respuesta sistémica a inundaciones; escala (157 viviendas) probada con financiación estatal; madera FSC en programa de gran escala; modelo replicable Pacífico/Amazonia,SIN IDENTIFICAR ARQUITECTO específico (operador estatal Fondo Adaptación). Mezcla cabecera + rural - el componente rural cumple criterio. Único proyecto contemporáneo entregado a escala documentada con sistema palafítico explicito como respuesta climática en Pacífico.,pendiente_revision,,,
